epoch,L_total,L_ode,L_tc,lambda
0,5.673063704829533,5.4045628514931465,0.053700170667277405,5.0
1,4.145952226004048,4.029889201632938,0.023184079581811373,5.00615191392654
2,2.884585674864583,2.668939718165069,0.04302325606224567,5.012311397062072
3,2.1662807703872513,1.7952471304392992,0.07393349259142085,5.018478458719619
4,2.0477916625899435,1.41375890414264,0.12618438423333256,5.024653108223665
5,1.9423364360682278,1.3061713413534344,0.1264531732476371,5.0308353549101685
6,1.828745304523554,1.3417586146192721,0.09668140812926526,5.037025208126567
7,1.7712383151260713,1.3861988266498093,0.0763479055197316,5.0432226772318085
8,1.6513190635154447,1.32217624082066,0.06518418275953035,5.04942777159635
9,1.4991448014875453,1.1383713777273208,0.07136057710536434,5.055640500602178
10,1.372605369140368,0.9507551157840382,0.08333896641705613,5.061860873642824
11,1.1958338450513435,0.8548075658871799,0.06728892998618508,5.068088900123378
12,0.9968061818532881,0.8132937699420733,0.036164894199392505,5.074324589460499
13,0.8431519574185888,0.7376776603129707,0.02076033587606016,5.080567951082436
14,0.7307203729964286,0.6326374559946945,0.019281778476716433,5.086818994429035
15,0.7143619333594524,0.5866954691782633,0.025066663219268204,5.093077728951759
16,0.7071358076654877,0.6069570862077004,0.01964541286755824,5.099344164113695
17,0.6654297844662569,0.6035268121947347,0.012124481016859083,5.105618309389581
18,0.605015692349528,0.5538167666238702,0.010015634887277745,5.111900174265807
19,0.5074701941989003,0.4802178971635754,0.005324596833910257,5.118189768240436
20,0.4364708182030779,0.41114833445120696,0.00494146697096829,5.1244871008232185
21,0.4007306264094713,0.3825745440790695,0.003538650892106079,5.130792181535603
22,0.3926696349119489,0.3908744817670088,0.00034944840293946395,5.1371050199107575
23,0.38158079021608665,0.3805470321816199,0.00020098629002097143,5.143425625493574
24,0.36845255803701976,0.3563341911504204,0.002353193350235504,5.149754007840693
25,0.35239688318852685,0.34459630468321617,0.0015128863612262793,5.15609017652051
26,0.32970928645968123,0.3253097214797282,0.00085222684874859,5.162434141113197
27,0.30095486149658723,0.29543121198827743,0.0010686551161520187,5.168785911210708
28,0.27975478063763587,0.2784748670322536,0.0002473193471117784,5.175145496416804
29,0.2681174785637721,0.2673390883823693,0.0001502244991900587,5.181512906347059
30,0.27587532472224613,0.2570811209896759,0.003622707966495386,5.187888150628879
31,0.25690827247376347,0.24641158869878094,0.0020208193396543425,5.194271238901516
32,0.2420531173972181,0.23804890277889768,0.0007699432262858692,5.20066218081608
33,0.2249803556050942,0.22108367464697076,0.0007483455578057667,5.2070609860355574
34,0.20423177260217942,0.19663501622777324,0.0014571407868358098,5.213467664234824
35,0.19470946406108838,0.1884982998112921,0.001189905055698172,5.219882225100658
36,0.1981886898734725,0.18937523545847987,0.0016863644501119847,5.226304678331757
37,0.18641697496942525,0.17918734230999142,0.0013816164229524294,5.23273503363875
38,0.18342424650593148,0.17315341465175876,0.0019603917001015693,5.239173300744218
39,0.1771592562220513,0.1659032384819063,0.0021457937928832924,5.2456194893826975
40,0.16101806654829273,0.15418106293155867,0.0013017722380407352,5.2520736093007105
41,0.15349653972107638,0.1465295581720183,0.0013248900427669619,5.258535670256763
42,0.16621879013651691,0.14254800882786914,0.004495870040459281,5.265005682021375
43,0.16213367352491465,0.13931291309802604,0.0043290963081977505,5.271483654377082
44,0.14821862070977176,0.1386712096092583,0.0018089174112950448,5.27796959711846
45,0.14325770357074943,0.13352905361836656,0.001840991032574465,5.284463520052133
46,0.1439763176487143,0.13240269160581988,0.0021874318003886764,5.290965432996792
47,0.13759271196714032,0.13034491323787398,0.0013681609174520425,5.297475345783211
48,0.1462520724303542,0.12511566154502995,0.00398499956850078,5.303993268254255
49,0.1454678466667818,0.12331705167423944,0.004171116630126534,5.310519210264904
50,0.13014528418232077,0.12231288642221269,0.0014730711716579028,5.317053181682262
51,0.12680182887586566,0.1192387877197731,0.0014206642095759086,5.323595192385571
52,0.13486794759955445,0.11822042472316634,0.003123277525937975,5.330145252266229
53,0.12850484618796498,0.11836524217528023,0.0018999751920541802,5.336703371227809
54,0.13439663620800676,0.12270730367501202,0.0021876741204079142,5.343269559186061
55,0.1356124192749614,0.12260953560671171,0.0024305164956196805,5.349843826068944
56,0.12179886819610787,0.11739045323984688,0.0008230142275135162,5.356426181816625
57,0.11739379044803844,0.11273589670819634,0.0008685212177497246,5.363016636381505
58,0.1300813205652261,0.11551821387965182,0.0027121322746388493,5.369615199728228
59,0.1263352011162627,0.11580729175656948,0.0019582356515580436,5.376221881833701
60,0.12334191319304387,0.11277583541358077,0.0019629199960343817,5.382836692687105
61,0.12290478061806695,0.11184377451465091,0.0020523404640834016,5.389459642289912
62,0.11691206626041391,0.11153839958349249,0.0009958443872032173,5.396090740655897
63,0.1105087640385822,0.10658432004357073,0.000726381661974854,5.402729997811159
64,0.12341711878445158,0.1078981522433634,0.0028689006747477405,5.409377423794133
65,0.1234751173376577,0.10998818195950961,0.002490187062521641,5.416033028655603
66,0.11072937762543071,0.10631279004472223,0.0008144633058622568,5.422696822458719
67,0.10835655021733083,0.10356774181714666,0.0008820193586237461,5.429368815279016
68,0.11060505751565121,0.1014434097868067,0.0016853504631487006,5.436049017204423
69,0.10405406708267961,0.09791098208004904,0.001128675610798799,5.442737438335281
70,0.11828678720738334,0.10568547024142366,0.002312408363997799,5.4494340887843595
71,0.12161014670347947,0.10767800832948297,0.002553479379547455,5.45613897867687
72,0.10227876538148918,0.09771888408721317,0.0008347070716275967,5.462852118150482
73,0.10194199816218569,0.09359862087427696,0.0015254164262413885,5.469573517355338
74,0.09728387846410533,0.09293409032793311,0.0007942927898754149,5.476303186454067
75,0.09712474235834333,0.09395129723731668,0.0005787746330060613,5.483041135621807
76,0.09554271165394541,0.09227842978767772,0.0005946098898302429,5.489787375046211
77,0.09528064723031103,0.08869265224731414,0.0011985708623644385,5.496541914927469
78,0.09348889450437674,0.08919465158916284,0.000780302581487265,5.503304765478319
79,0.09302733169543806,0.08751977937341114,0.0009995419999785792,5.510075936924066
80,0.09257682894838383,0.08861750573507367,0.0007176775350972652,5.5168554395025975
81,0.08917480081522469,0.08414640746074607,0.0009103399869306635,5.523643283464393
82,0.08907205889434074,0.0853071648365906,0.0006807585675598992,5.53043947907255
83,0.08909897790911209,0.0847574806380582,0.0007840538076984386,5.537244036602788
84,0.0868753115688887,0.08388293238401834,0.0005397453891683126,5.544056966343472
85,0.08601734565740707,0.08074105830160037,0.0009505319862898521,5.550878278595627
86,0.0846854936160955,0.0817088444565377,0.0005355893415599362,5.557707983672952
87,0.08428608953570857,0.07927034343677286,0.0009013756047838647,5.564546091901831
88,0.08338412068257745,0.08019281284629608,0.0005728025392572442,5.571392613621359
89,0.08172068689236127,0.07648723091180061,0.0009381899826128965,5.5782475591833505
90,0.08079817501329836,0.07773148071229886,0.0005490838650332588,5.585110938952356
91,0.08041414588200364,0.07587357320340608,0.0008119790190328528,5.591982763305677
92,0.0791193856929027,0.07613469111647,0.0005330894064929413,5.598863042633387
93,0.07819288953516404,0.07314410631543117,0.0009006433768859541,5.60575178733834
94,0.07705220650977485,0.0739865472542779,0.0005462054105319556,5.61264900783619
95,0.07627955453091377,0.07100521137188123,0.0009385695890407951,5.619554714555408
96,0.07563790378721828,0.07260818234682734,0.0005384765266777057,5.626468917937293
97,0.074263011258718,0.06924095017291111,0.0008914809083140499,5.633391628435992
98,0.07357619161070889,0.07067987124714842,0.0005135025843801116,5.640322856518518
99,0.07264916468089147,0.06795340518579529,0.0008315107366470425,5.647262612664758
100,0.07182467118343361,0.06889435557130025,0.0005182536803349751,5.654210907367493
101,0.0710539857879835,0.06634374131069157,0.000832027010036884,5.661167751132417
102,0.06983901564591583,0.06716461755132698,0.00047183049898464637,5.668133154478151
103,0.06937165759471994,0.06415877289507683,0.0009185526514525496,5.675107127936254
104,0.06829908744323655,0.06559235286635402,0.00047636252300498717,5.682089682051245
105,0.0677078519897715,0.06281611770352902,0.0008598461569924191,5.689080827380617
106,0.06658664109473698,0.06394193126071553,0.0004643034450501967,5.696080574494852
107,0.06599697778399698,0.061482948257735384,0.0007915060730279427,5.703088933977436
108,0.06514445574437012,0.06263011323728675,0.00044033202604017857,5.710105916424882
109,0.06441210348477128,0.06017676278228102,0.0007408156832588518,5.717131532446737
110,0.06352802631412845,0.06098098546747192,0.0004449628013779859,5.7241657926656
111,0.06282888113567844,0.0583393873960013,0.0007833415198493797,5.731208707717144
112,0.06206039896985499,0.05970169983266814,0.00041104777732313896,5.7382602882501255
113,0.06141705077546361,0.056965773194981896,0.0007747657499132168,5.745320544926404
114,0.060440653997866974,0.05808030614346801,0.00041032476315279524,5.752389488420958
115,0.05998245706188256,0.055675677151477726,0.0007477740238161794,5.759467129421897
116,0.05903990296988327,0.056723485888125286,0.00040169870796171196,5.766553478630485
117,0.0585342381051242,0.0543319710050413,0.0007278356252633789,5.773648546761149
118,0.05764608842580015,0.05532311914832971,0.0004018454932884149,5.7807523445415026
119,0.05704838518767562,0.0527894818109513,0.0007358332412778236,5.787864882712355
120,0.05635508478020712,0.054060375573507014,0.00039598182611316946,5.794986172027732
121,0.055690309396378604,0.051403631896331514,0.0007388127598799341,5.802116223254892
122,0.054934634132840415,0.05264634543684118,0.00039390398207981566,5.809255047174339
123,0.05442573977335238,0.05028877079991576,0.0007112590408745459,5.816402654579846
124,0.05358054513398679,0.05139297807506065,0.0003756409161108598,5.823559056278461
125,0.053167940983142044,0.04903550866665795,0.0007087339634019552,5.83072426309053
126,0.052276935097009744,0.050092303709316464,0.0003742153906635433,5.837898285849715
127,0.05187317364500852,0.04777493718396386,0.0007011427841817457,5.845081135403002
128,0.05107513144341016,0.04895878978053443,0.00036162730737689965,5.85227282261073
129,0.05059975926223685,0.04654327780463865,0.0006922945475671296,5.859473358346595
130,0.04986574456918336,0.04776823028596735,0.0003575298633568492,5.866682753497675
131,0.049391068034493515,0.04552948447649483,0.000657413794602803,5.873901018964442
132,0.04867269142518091,0.04658341006396913,0.0003552517990359148,5.881128165660778
133,0.04822288360010409,0.04440490555890813,0.0006483936639430549,5.888364204513996
134,0.04750207105739257,0.04547913076057346,0.0003431265958382121,5.895609146464854
135,0.04707974621958469,0.043269061436613396,0.0006455655131041182,5.9028630024675675
136,0.04636604312387802,0.04435314237094819,0.000340585095253463,5.910125783489835
137,0.045964529448016773,0.04215955993296384,0.0006430140132926961,5.917397500512846
138,0.04525659223419226,0.04329113640295225,0.00033174052271841843,5.924678164531301
139,0.04487606802038984,0.04118180222448491,0.0006227723967549318,5.931967786553429
140,0.044180894775702334,0.042222120301395834,0.0003298007447003397,5.9392663776010055
141,0.04379861039880939,0.04016649201048453,0.0006107917634007004,5.946573948709364
142,0.043150624626514235,0.04121447527146109,0.0003251906214095893,5.953890510927416
143,0.04274156670272673,0.03911777925567986,0.0006078939936519186,5.961216075317669
144,0.0421301973062014,0.04021262143394979,0.00032127998634003807,5.9685506529562415
145,0.04173630445095873,0.038133450465563296,0.0006028978813374107,5.975894254932877
146,0.04111768406505443,0.039229836066603185,0.00031552232966763964,5.983246892350966
147,0.0407657057986248,0.03720948522164099,0.0005936326053811191,5.990608576327563
148,0.04012719689206989,0.03824639557430889,0.0003135724913420029,5.997979317993394
149,0.039809511470347794,0.03631011711084778,0.0005827119219060312,6.005359128492885
150,0.03918244404231262,0.037340336959267764,0.00030636691862501707,6.012748018984175
151,0.03885758835535163,0.035373770267443226,0.0005786932887572066,6.020146000639127
152,0.03826565757688957,0.0364334720192385,0.0003039683818495117,6.027553084643353
153,0.03793809005762381,0.034511638483883306,0.0005677661995478388,6.034969282196228
154,0.03736333003982756,0.0355577188916692,0.00029882377208704554,6.042394604510904
155,0.03704670010575073,0.033675918718452796,0.0005571696906308748,6.049829062814332
156,0.036475533754121825,0.0346872362265059,0.0002952314722368047,6.057272668347275
157,0.03618571627421787,0.03286617323545151,0.000547352567859323,6.064725432364325
158,0.035609905581004325,0.03383997107523527,0.00029148219563190876,6.072187366133925
159,0.03534076480768827,0.032027288481534064,0.0005450102726235332,6.07965848093838
160,0.03476616642806636,0.0330254431959745,0.00028596739662028754,6.087138788073878
161,0.03452366846634996,0.0312451848052781,0.0005379300427050174,6.094628298850504
162,0.03393934687833732,0.03221164034307657,0.0002831318535812022,6.102127024592261
163,0.0337247159222249,0.030483851434611835,0.0005304514099460868,6.10963497663708
164,0.03313879345074617,0.031430698888357464,0.0002792303535930458,6.11715216633685
165,0.03294179327695642,0.029742627124477068,0.0005223402497949291,6.1246786050574205
166,0.03236317997991111,0.030669984301762373,0.0002761148900153332,6.132214304178627
167,0.032172234937235575,0.028992520337295314,0.0005178891317186726,6.139759275094306
168,0.03160991730333372,0.029933163494377666,0.00027276204491409844,6.147313529212317
169,0.031427307342083946,0.02828031663218387,0.000511300334684493,6.15487707795455
170,0.030867320440283022,0.029201630024562327,0.0002702967868130818,6.162449932756953
171,0.030705475443566638,0.027592572907366778,0.0005045196658931772,6.170032105069538
172,0.030142913000766092,0.02849424181406768,0.000266877895409818,6.177623606356413
173,0.030002732664718847,0.026916174218040777,0.0004990212517879306,6.185224448095785
174,0.02943622742652917,0.02779930163914373,0.0002643257703575532,6.192834641779989
175,0.029315986806710253,0.026247909106435863,0.0004948149928776217,6.200454198915493
