t,y_pinn,y_ref
0.095,0.04608275,0.046083059161901474
0.09625,0.04597629,0.045976608991622925
0.0975,0.04587034,0.045870669186115265
0.09875,0.04576492,0.04576525092124939
0.1,0.045660004,0.045660343021154404
0.10125,0.045555606,0.0455559566617012
0.1025,0.04545173,0.04545208066701889
0.10375,0.04534837,0.04534872621297836
0.105,0.045245517,0.045245882123708725
0.10625,0.04514318,0.04514355584979057
0.1075,0.04504136,0.04504174739122391
0.10875,0.04494006,0.04494044929742813
0.11,0.04483927,0.04483967274427414
0.11125,0.044738993,0.04473940655589104
0.1125,0.044639237,0.04463965818285942
0.11375,0.044539995,0.04454042389988899
0.115,0.044441268,0.04444170743227005
0.11625,0.04434305,0.044343501329422
0.1175,0.044245355,0.04424581304192543
0.11875,0.044148162,0.04414864256978035
0.12,0.044051494,0.04405198246240616
0.12125,0.043955334,0.04395584017038345
0.1225,0.043859694,0.04386020824313164
0.12375,0.043764565,0.04376509413123131
0.125,0.043669958,0.043670497834682465
0.12625,0.043575857,0.04357641190290451
0.1275,0.043482274,0.043482840061187744
0.12875,0.043389205,0.043389786034822464
0.13,0.04329665,0.04329724237322807
0.13125,0.043204613,0.04320521652698517
0.1325,0.04311309,0.04311370477080345
0.13375,0.043022078,0.043022703379392624
0.135,0.04293158,0.04293221980333328
0.13625,0.0428416,0.04284225031733513
0.1375,0.04275213,0.042752791196107864
0.13875,0.042663183,0.042663849890232086
0.14,0.042574745,0.0425754189491272
0.14125,0.04248682,0.042487505823373795
0.1425,0.042399406,0.04240010306239128
0.14375,0.04231251,0.042313214391469955
0.145,0.042226125,0.04222683981060982
0.14625,0.042140264,0.04214097931981087
0.1475,0.042054903,0.042055632919073105
0.14875,0.041970056,0.04197080060839653
0.15,0.04188573,0.041886478662490845
0.15125,0.04180192,0.04180267080664635
0.1525,0.041718613,0.04171937704086304
0.15375,0.041635823,0.041636597365140915
0.155,0.04155355,0.04155432805418968
0.15625,0.04147179,0.04147257283329964
0.1575,0.041390542,0.04139133170247078
0.15875,0.041309804,0.04131060093641281
0.16,0.04122958,0.04123038426041603
0.16125,0.041149873,0.04115068167448044
0.1625,0.041070677,0.041071489453315735
0.16375,0.040991995,0.04099281132221222
0.165,0.04091383,0.04091464355587959
0.16625,0.04083617,0.040836989879608154
0.1675,0.040759034,0.0407598502933979
0.16875,0.0406824,0.04068322107195854
0.17,0.040606286,0.04060710594058037
0.17125,0.04053068,0.040531501173973083
0.1725,0.040455587,0.04045640677213669
0.17375,0.04038101,0.04038182646036148
0.175,0.04030695,0.04030776023864746
0.17625,0.040233392,0.04023420438170433
0.1775,0.040160354,0.04016115888953209
0.17875,0.040087827,0.04008862376213074
0.18,0.040015806,0.04001660272479057
0.18125,0.0399443,0.0399450957775116
0.1825,0.039873306,0.03987409546971321
0.18375,0.039802827,0.03980360925197601
0.185,0.03973285,0.0397336371243
0.18625,0.039663393,0.039664171636104584
0.1875,0.03959445,0.03959522023797035
0.18875,0.039526016,0.03952677920460701
0.19,0.039458096,0.039458852261304855
0.19125,0.03939068,0.03939143195748329
0.1925,0.039323777,0.039324525743722916
0.19375,0.039257385,0.03925812989473343
0.195,0.03919151,0.03919224441051483
0.19625,0.03912614,0.03912686929106712
0.1975,0.039061286,0.039062004536390305
0.19875,0.038996942,0.038997650146484375
0.2,0.03893311,0.03893380984663963
0.20125,0.038869783,0.03887047618627548
0.2025,0.038806975,0.03880765661597252
0.20375,0.038744673,0.038745343685150146
0.205,0.03868288,0.03868354484438896
0.20625,0.038621604,0.038622256368398666
0.2075,0.038560838,0.03856147453188896
0.20875,0.03850058,0.038501206785440445
0.21,0.03844083,0.03844144567847252
0.21125,0.0383816,0.03838219866156578
0.2125,0.03832287,0.03832345828413963
0.21375,0.03826466,0.038265228271484375
0.215,0.03820695,0.038207508623600006
0.21625,0.038149755,0.038150299340486526
0.2175,0.038093075,0.038093600422143936
0.21875,0.038036898,0.038037411868572235
0.22,0.037981227,0.037981729954481125
0.22125,0.037926078,0.037926558405160904
0.2225,0.03787143,0.03787189722061157
0.22375,0.037817296,0.03781774640083313
0.225,0.037763666,0.03776410222053528
0.22625,0.03771055,0.037710968405008316
0.2275,0.037657943,0.03765834495425224
0.22875,0.037605844,0.03760623186826706
0.23,0.037554253,0.037554625421762466
0.23125,0.03750317,0.03750352934002876
0.2325,0.037452597,0.03745293989777565
0.23375,0.037402533,0.037402860820293427
0.235,0.03735298,0.03735329210758209
0.23625,0.037303932,0.03730423003435135
0.2375,0.037255395,0.037255678325891495
0.23875,0.03720736,0.03720763325691223
0.24,0.03715984,0.03716009855270386
0.24125,0.037112832,0.037113070487976074
0.2425,0.037066333,0.03706655278801918
0.24375,0.037020333,0.03702054172754288
0.245,0.036974855,0.03697504103183746
0.24625,0.036929872,0.03693004697561264
0.2475,0.036885403,0.03688556328415871
0.24875,0.036841445,0.036841586232185364
0.25,0.03679799,0.03679811581969261
0.25125,0.036755044,0.03675515577197075
0.2525,0.03671261,0.03671270236372948
0.25375,0.036670677,0.036670759320259094
0.255,0.03662926,0.036629319190979004
0.25625,0.036588345,0.0365883894264698
0.2575,0.036547936,0.03654797002673149
0.25875,0.03650804,0.03650805354118347
0.26,0.03646865,0.03646864742040634
0.26125,0.036429767,0.0364297479391098
0.2625,0.03639139,0.036391355097293854
0.26375,0.036353514,0.036353472620248795
0.265,0.036316153,0.03631609305739403
0.26625,0.0362793,0.03627922385931015
0.2675,0.036242947,0.03624286130070686
0.26875,0.036207106,0.03620700538158417
0.27,0.036171768,0.03617165610194206
0.27125,0.036136936,0.03613681346178055
0.2725,0.03610262,0.03610248118638992
0.27375,0.0360688,0.03606865182518959
0.275,0.03603549,0.03603532910346985
0.27625,0.036002684,0.036002516746520996
0.2775,0.03597039,0.035970207303762436
0.27875,0.0359386,0.035938408225774765
0.28,0.035907313,0.035907112061977386
0.28125,0.03587653,0.0358763225376606
0.2825,0.035846263,0.0358460396528244
0.28375,0.035816498,0.035816267132759094
0.285,0.03578724,0.03578699752688408
0.28625,0.03575849,0.035758230835199356
0.2875,0.03573024,0.03572997450828552
0.28875,0.035702508,0.03570222482085228
0.29,0.035675272,0.03567497804760933
0.29125,0.03564855,0.03564823791384697
0.2925,0.035622325,0.0356220081448555
0.29375,0.035596617,0.03559627756476402
0.295,0.03557141,0.035571057349443436
0.29625,0.03554671,0.03554634004831314
0.2975,0.035522517,0.03552212938666344
0.29875,0.035498824,0.035498425364494324
0.3,0.035475645,0.0354752242565155
0.30125,0.035452973,0.03545252978801727
0.3025,0.035430804,0.035430341958999634
0.30375,0.035409134,0.035408660769462585
0.305,0.035387974,0.03538748249411583
0.30625,0.035367317,0.035366807132959366
0.3075,0.03534717,0.03534663841128349
0.30875,0.03532753,0.03532697632908821
0.31,0.035308387,0.03530781716108322
0.31125,0.035289753,0.03528916463255882
0.3125,0.035271633,0.035271018743515015
0.31375,0.035254,0.0352533720433712
0.315,0.03523689,0.035236235707998276
0.31625,0.035220277,0.035219598561525345
0.3175,0.035204165,0.0352034717798233
0.31875,0.035188563,0.035187844187021255
0.32,0.035173465,0.0351727232336998
0.32125,0.035158873,0.03515810891985893
0.3225,0.035144787,0.03514399752020836
0.32375,0.035131205,0.03513038903474808
0.325,0.035118125,0.03511728346347809
0.32625,0.035105556,0.03510468453168869
0.3275,0.03509349,0.03509259223937988
0.32875,0.035081927,0.03508099913597107
0.33,0.035070866,0.03506991267204285
0.33125,0.035060324,0.035059329122304916
0.3325,0.035050273,0.03504924848675728
0.33375,0.035040732,0.03503967076539993
0.335,0.035031687,0.03503059968352318
0.33625,0.035023157,0.035022031515836716
0.3375,0.035015132,0.035013966262340546
0.33875,0.03500761,0.03500640392303467
0.34,0.03500059,0.03499934449791908
0.34125,0.03499408,0.03499279171228409
0.3425,0.034988064,0.03498673811554909
0.34375,0.034982566,0.03498119115829468
0.345,0.034977555,0.03497614711523056
0.34625,0.034973066,0.03497160226106644
0.3475,0.034969065,0.034967564046382904
0.34875,0.03496558,0.034964028745889664
0.35,0.034962595,0.034960996359586716
0.35125,0.03496011,0.03495846316218376
0.3525,0.03495813,0.0349564366042614
0.35375,0.034956653,0.03495491296052933
0.355,0.034955673,0.03495388850569725
0.35625,0.034955207,0.034953370690345764
0.3575,0.03495524,0.03495335206389427
0.35875,0.03495577,0.03495384007692337
0.36,0.03495681,0.03495482727885246
0.36125,0.03495835,0.03495631739497185
0.3625,0.034960397,0.034958306699991226
0.36375,0.034962945,0.034960802644491196
0.365,0.03496599,0.03496379777789116
0.36625,0.034969546,0.03496729955077171
0.3675,0.0349736,0.03497130051255226
