t,r1,r2,r_norm
0.0,0.0027022362,-0.00831002,0.008738336
0.007503751875937969,-0.00083231926,-0.0051667094,0.0052333204
0.015007503751875938,-0.0027682781,-0.0023246408,0.0036148746
0.022511255627813906,-0.0034927726,0.00010073185,0.0034942247
0.030015007503751877,-0.003363371,0.0020191073,0.003922889
0.03751875937968985,-0.0026987195,0.0033910275,0.0043338384
0.04502251125562781,-0.0017460585,0.004218936,0.0045659766
0.05252626313156578,-0.00070619583,0.004541397,0.0045959763
0.060030015007503754,0.0002834797,0.0044270754,0.0044361423
0.06753376688344172,0.0011248589,0.0039594173,0.0041161017
0.0750375187593797,0.0017666221,0.003232181,0.0036834697
0.08254127063531766,0.00218153,0.002341032,0.0031999226
0.09004502251125562,0.0023679733,0.001371026,0.0027362402
0.0975487743871936,0.0023400187,0.00039726496,0.0023735012
0.10505252626313157,0.0021228194,-0.0005158782,0.0021846036
0.11255627813906954,0.0017440915,-0.0013219118,0.0021884483
0.12006003001500751,0.001242578,-0.0019891262,0.0023453408
0.12756378189094547,0.00065124035,-0.0024971366,0.0025806597
0.13506753376688344,2.0861626e-06,-0.002839744,0.002839745
0.14257128564282143,-0.00067329407,-0.0030175447,0.0030917472
0.1500750375187594,-0.0013465881,-0.00304389,0.003328448
0.15757878939469736,-0.001995623,-0.0029292703,0.0035444514
0.16508254127063532,-0.0026006103,-0.0026973486,0.0037468472
0.17258629314657328,-0.0031479597,-0.0023697615,0.003940231
0.18009004502251125,-0.003625095,-0.0019657612,0.004123776
0.18759379689844924,-0.0040258765,-0.0015064478,0.004298496
0.1950975487743872,-0.004343748,-0.0010172129,0.0044612633
0.20260130065032517,-0.0045772195,-0.0005121827,0.0046057864
0.21010505252626313,-0.0047286153,-9.059906e-06,0.0047286237
0.2176088044022011,-0.004798472,0.0004761815,0.0048220414
0.2251125562781391,-0.004791796,0.00093334913,0.004881849
0.23261630815407705,-0.004713893,0.0013543963,0.004904608
0.24012006003001501,-0.004570842,0.0017285943,0.0048867813
0.24762381190595298,-0.0043691397,0.0020551085,0.0048283385
0.25512756378189094,-0.004115045,0.0023276806,0.0047277575
0.26263131565782893,-0.003817439,0.0025452375,0.0045881453
0.27013506753376687,-0.0034834743,0.0027086735,0.004412653
0.27763881940970486,-0.003119111,0.0028191805,0.004204359
0.28514257128564285,-0.0027314425,0.0028766394,0.0039668414
0.2926463231615808,-0.0023268461,0.0028876066,0.0037084343
0.3001500750375188,-0.0019119978,0.0028521419,0.0034337223
0.3076538269134567,-0.0014930367,0.002774179,0.0031504328
0.3151575787893947,-0.0010742545,0.0026600957,0.0028688207
0.3226613306653327,-0.0006597638,0.0025117397,0.0025969453
0.33016508254127064,-0.0002554655,0.0023354888,0.0023494193
0.33766883441720863,0.00013691187,0.0021339655,0.002138353
0.34517258629314657,0.0005129576,0.0019111037,0.0019787478
0.35267633816908456,0.0008704066,0.0016704798,0.0018836429
0.3601800900450225,0.0012071133,0.0014178157,0.0018620751
0.3676838419209605,0.0015207529,0.0011567473,0.0019106946
0.3751875937968985,0.0018097758,0.0008877516,0.0020157855
0.3826913456728364,0.0020735264,0.00061511993,0.0021628416
0.3901950975487744,0.0023114085,0.0003425479,0.0023366532
0.39769884942471234,0.0025216937,7.176399e-05,0.0025227147
0.40520260130065033,0.0027058125,-0.00019544363,0.0027128619
0.4127063531765883,0.0028628707,-0.00045531988,0.0028988523
0.42021010505252626,0.0029922724,-0.00070858,0.0030750253
0.42771385692846425,0.0030956268,-0.0009518266,0.003238654
0.4352176088044022,0.0031739473,-0.0011850595,0.0033879653
0.4427213606803402,0.0032265186,-0.0014064312,0.003519726
0.4502251125562782,0.0032550693,-0.0016154647,0.0036338961
0.4577288644322161,0.0032610893,-0.0018108487,0.0037301308
0.4652326163081541,0.0032441616,-0.001992464,0.0038071638
0.47273636818409204,0.00320673,-0.0021585822,0.0038655652
0.48024012006003003,0.0031490922,-0.0023118854,0.003906609
0.487743871935968,0.0030730963,-0.0024511218,0.003930893
0.49524762381190596,0.0029796362,-0.0025743246,0.003937687
0.5027513756878439,0.0028699636,-0.0026833415,0.0039289966
0.5102551275637819,0.0027462244,-0.0027778447,0.0039061706
0.5177588794397199,0.0026088953,-0.0028571188,0.003869039
0.5252626313156579,0.0024590492,-0.0029230118,0.0038198063
0.5327663831915959,0.002298355,-0.0029745698,0.0037590559
0.5402701350675337,0.0021281838,-0.0030131936,0.0036889703
0.5477738869434717,0.0019498467,-0.0030387044,0.0036104885
0.5552776388194097,0.0017641187,-0.0030522645,0.0035253982
0.5627813906953477,0.0015723705,-0.0030523837,0.0034335686
0.5702851425712857,0.001375556,-0.0030422807,0.003338806
0.5777888944472236,0.0011752844,-0.003021121,0.0032416764
0.5852926463231616,0.00097209215,-0.0029883385,0.003142472
0.5927963981990996,0.0007673502,-0.0029462576,0.0030445459
0.6003001500750376,0.00056153536,-0.0028948784,0.0029488376
0.6078039019509756,0.00035625696,-0.002834469,0.0028567698
0.6153076538269134,0.0001513362,-0.002765596,0.0027697335
0.6228114057028514,-5.1498413e-05,-0.0026890635,0.0026895567
0.6303151575787894,-0.0002516508,-0.002606213,0.0026183343
0.6378189094547274,-0.00044870377,-0.002514869,0.0025545843
0.6453226613306654,-0.000641942,-0.0024194121,0.0025031269
0.6528264132066033,-0.0008301735,-0.0023168921,0.0024611333
0.6603301650825413,-0.001013875,-0.0022103786,0.0024318134
0.6678339169584793,-0.0011916161,-0.0020986795,0.0024133804
0.6753376688344173,-0.0013634562,-0.0019834936,0.0024069191
0.6828414207103553,-0.0015283227,-0.0018643737,0.0024107383
0.6903451725862931,-0.0016868114,-0.0017418563,0.0024247465
0.6978489244622311,-0.0018374324,-0.0016171932,0.0024477483
0.7053526763381691,-0.0019808412,-0.0014898181,0.002478566
0.7128564282141071,-0.002116561,-0.0013613701,0.0025165768
0.720360180090045,-0.0022441149,-0.0012314916,0.0025598092
0.727863931965983,-0.002363205,-0.0011006892,0.0026069626
0.735367683841921,-0.0024741888,-0.0009685755,0.0026570186
