t,residual
0.0,-0.0016205311
0.010010010010009784,-0.0012465715
0.020020020020020124,-0.00091421604
0.03003003003002991,-0.0006197095
0.04004004004004025,-0.00036239624
0.05005005005005003,-0.00013941526
0.06006006006005982,5.2809715e-05
0.07007007007007016,0.00021493435
0.08008008008007994,0.00034946203
0.09009009009009028,0.00045835972
0.10010010010010006,0.00054460764
0.11011011011010985,0.0006092191
0.12012012012012019,0.00065386295
0.13013013013012997,0.00068050623
0.1401401401401403,0.0006914139
0.1501501501501501,0.00068837404
0.16016016016015988,0.000672698
0.17017017017017022,0.0006456971
0.18018018018018,0.00060874224
0.19019019019019034,0.0005636811
0.20020020020020013,0.0005117059
0.21021021021021047,0.00045359135
0.22022022022022025,0.00039184093
0.23023023023023004,0.00032633543
0.24024024024024038,0.00025850534
0.25025025025025016,0.00018924475
0.2602602602602605,0.00011909008
0.2702702702702703,5.0127506e-05
0.28028028028028007,-1.8060207e-05
0.2902902902902904,-8.445978e-05
0.3003003003003002,-0.00014841557
0.31031031031031053,-0.00020897388
0.3203203203203203,-0.00026613474
0.3303303303303301,-0.00031918287
0.34034034034034044,-0.00036865473
0.3503503503503502,-0.0004130602
0.36036036036036057,-0.00045257807
0.37037037037037035,-0.0004864335
0.38038038038038013,-0.0005156994
0.3903903903903905,-0.000539124
0.40040040040040026,-0.00055766106
0.4104104104104106,-0.00057023764
0.4204204204204204,-0.00057792664
0.4304304304304307,-0.0005799532
0.4404404404404405,-0.00057691336
0.4504504504504503,-0.0005686879
0.46046046046046063,-0.0005555749
0.4704704704704704,-0.0005376935
0.48048048048048075,-0.000515759
0.49049049049049054,-0.00048959255
0.5005005005005003,-0.0004594922
0.5105105105105107,-0.00042647123
0.5205205205205204,-0.00038909912
0.5305305305305308,-0.00034940243
0.5405405405405406,-0.00030714273
0.5505505505505504,-0.00026237965
0.5605605605605607,-0.00021588802
0.5705705705705705,-0.00016850233
0.5805805805805808,-0.0001193881
0.5905905905905906,-6.979704e-05
0.6006006006006004,-1.9431114e-05
0.6106106106106107,3.0338764e-05
0.6206206206206205,7.992983e-05
0.6306306306306309,0.00012916327
0.6406406406406406,0.00017720461
0.6506506506506504,0.00022417307
0.6606606606606608,0.00026893616
0.6706706706706705,0.00031214952
0.6806806806806809,0.00035363436
0.6906906906906907,0.00039201975
