epoch,total_loss,data_loss,physics_loss
0,1.227097511291504,1.2203326225280762,0.006764907389879227
1,0.8188998699188232,0.8157958984375,0.0031039780005812645
2,0.5259590744972229,0.49295100569725037,0.033008087426424026
3,0.3516651391983032,0.25131767988204956,0.10034745931625366
4,0.2825755178928375,0.09297194331884384,0.18960356712341309
5,0.28562888503074646,0.02391066960990429,0.261718213558197
6,0.29796209931373596,0.008079457096755505,0.289882630109787
7,0.3178552985191345,0.006957194767892361,0.310898095369339
8,0.2861456274986267,0.009413097985088825,0.27673253417015076
9,0.2647492289543152,0.01628868095576763,0.2484605610370636
10,0.2454303503036499,0.0331961065530777,0.2122342437505722
11,0.2557072043418884,0.06313548982143402,0.1925716996192932
12,0.259570837020874,0.093485988676548,0.16608484089374542
13,0.26987239718437195,0.11066092550754547,0.15921147167682648
14,0.2564646005630493,0.11284220218658447,0.14362241327762604
15,0.25471365451812744,0.10142643749713898,0.15328720211982727
16,0.24157753586769104,0.08134735375642776,0.16023018956184387
17,0.22853080928325653,0.0606042742729187,0.16792653501033783
18,0.2212863564491272,0.04446960985660553,0.17681674659252167
19,0.24124053120613098,0.034599266946315765,0.2066412717103958
20,0.23690834641456604,0.03225331753492355,0.20465503633022308
21,0.22574946284294128,0.03578365594148636,0.18996579945087433
22,0.22436681389808655,0.043862901628017426,0.18050391972064972
23,0.23954881727695465,0.05523879453539848,0.18431001901626587
24,0.2274685502052307,0.06886138767004013,0.15860716998577118
25,0.22964198887348175,0.08027762174606323,0.14936436712741852
26,0.23418515920639038,0.08616651594638824,0.14801864326000214
27,0.23358143866062164,0.08540672063827515,0.1481747180223465
28,0.234584242105484,0.07867196202278137,0.15591228008270264
29,0.2075015753507614,0.06852683424949646,0.13897474110126495
30,0.223527729511261,0.05608439818024635,0.16744333505630493
31,0.22952565550804138,0.0462818369269371,0.18324381113052368
32,0.2185879647731781,0.0411682091653347,0.1774197518825531
33,0.20521265268325806,0.03981863707304001,0.16539402306079865
34,0.20245738327503204,0.040834326297044754,0.1616230607032776
